starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 31 18:51:45 2025	1756684305	1	2	3	2
Sun Aug 31 18:51:45 2025	1756684305	1	28	29	28
Sun Aug 31 18:51:45 2025	1756684305	0	30	30	30
Sun Aug 31 18:51:45 2025	1756684305	1	33	34	33
Sun Aug 31 18:51:45 2025	1756684305	1	39	40	39
Sun Aug 31 18:51:45 2025	1756684305	1	41	41	41
Sun Aug 31 18:51:45 2025	1756684305	1	41	42	41
Sun Aug 31 18:51:45 2025	1756684305	1	46	46	46
Sun Aug 31 18:51:45 2025	1756684305	1	48	49	48
Sun Aug 31 18:51:45 2025	1756684305	0	51	51	51
