Percentage served,Time in ms
0,6.226
1,6.226
2,6.226
3,6.226
4,6.226
5,17.569
6,17.569
7,17.569
8,17.569
9,17.569
10,17.569
11,17.569
12,17.569
13,17.569
14,17.569
15,26.695
16,26.695
17,26.695
18,26.695
19,26.695
20,26.695
21,26.695
22,26.695
23,26.695
24,26.695
25,84.895
26,84.895
27,84.895
28,84.895
29,84.895
30,84.895
31,84.895
32,84.895
33,84.895
34,84.895
35,95.184
36,95.184
37,95.184
38,95.184
39,95.184
40,95.184
41,95.184
42,95.184
43,95.184
44,95.184
45,119.507
46,119.507
47,119.507
48,119.507
49,119.507
50,119.507
51,119.507
52,119.507
53,119.507
54,119.507
55,123.176
56,123.176
57,123.176
58,123.176
59,123.176
60,123.176
61,123.176
62,123.176
63,123.176
64,123.176
65,132.181
66,132.181
67,132.181
68,132.181
69,132.181
70,132.181
71,132.181
72,132.181
73,132.181
74,132.181
75,141.461
76,141.461
77,141.461
78,141.461
79,141.461
80,141.461
81,141.461
82,141.461
83,141.461
84,141.461
85,144.985
86,144.985
87,144.985
88,144.985
89,144.985
90,144.985
91,144.985
92,144.985
93,144.985
94,144.985
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
100,144.985
