starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 31 18:51:45 2025	1756684305	1	6	6	6
Sun Aug 31 18:51:45 2025	1756684305	0	17	18	17
Sun Aug 31 18:51:45 2025	1756684305	0	26	27	26
Sun Aug 31 18:51:45 2025	1756684305	1	84	85	84
Sun Aug 31 18:51:45 2025	1756684305	1	94	95	94
Sun Aug 31 18:51:45 2025	1756684305	1	119	120	119
Sun Aug 31 18:51:45 2025	1756684305	1	122	123	122
Sun Aug 31 18:51:45 2025	1756684305	0	132	132	132
Sun Aug 31 18:51:45 2025	1756684305	1	141	141	141
Sun Aug 31 18:51:45 2025	1756684305	1	144	145	144
